event_id,event_name,user_id,account_id,deal_id,event_timestamp,ingested_at,event_date,platform,device_type,app_version,country_code,event_properties,is_test_event,source_system
ab8cf39c-549a-4dfa-9b25-51f9d8f71cfd,login,user_58,account_84,,32:41.0,32:41.0,01/01/2026,web,mobile,1,DK,"{""feature_name"": ""automation"", ""source"": ""api""}",FALSE,frontend
3f3dcab9-3955-45dd-b869-9f81fe209875,log_activity,user_58,account_84,deal_388,35:08.0,35:08.0,01/01/2026,web,desktop,1,UK,"{""feature_name"": ""deal"", ""source"": ""automation""}",FALSE,frontend
ba7e8805-f24b-4791-86e9-e58c078e62cb,move_deal_stage,user_58,account_84,deal_465,36:03.0,36:03.0,01/01/2026,web,desktop,1.1,SE,"{""feature_name"": ""dashboard"", ""source"": ""automation"", ""pipeline_id"": ""pipeline_5"", ""stage_id"": ""stage_6""}",FALSE,frontend
33fd4ea1-89a9-4517-936c-99ae62626dec,login,user_58,account_84,,37:56.0,37:56.0,,mobile,desktop,2.1,DE,"{""feature_name"": ""dashboard"", ""source"": ""ui""}",FALSE,frontend
885930dd-f793-4360-b2e2-69a7b885d526,log_activity,user_58,account_84,deal_765,40:49.0,40:49.0,01/01/2026,web,mobile,1,FR,"{""feature_name"": ""pipeline"", ""source"": ""ui""}",FALSE,frontend
a3eb7ecb-7958-4f67-8a8c-547c9ee65246,log_activity,user_58,account_84,deal_395,43:07.0,43:07.0,01/01/2026,web,desktop,2,FR,"{""feature_name"": ""automation"", ""source"": ""ui""}",FALSE,frontend
ea2d5a2a-52e8-4565-b616-2f3d5c49b781,create_deal,user_58,account_84,deal_740,45:33.0,45:33.0,01/01/2026,mobile,desktop,1.1,DK,"{""feature_name"": ""deal"", ""source"": ""api"", ""pipeline_id"": ""pipeline_1"", ""stage_id"": ""stage_5""}",FALSE,frontend
690a61eb-0d10-4c3f-928c-2c3b9945ad59,view_dashboard,user_58,account_84,,46:31.0,46:31.0,,mobile,desktop,1.1,SE,"{""feature_name"": ""dashboard"", ""source"": ""api""}",FALSE,automation
87b12073-19cf-438e-a626-72f7a7d43f7f,invite_user,user_58,account_84,,48:49.0,48:49.0,01/01/2026,mobile,mobile,2.1,NO,"{""feature_name"": ""deal"", ""source"": ""ui""}",FALSE,frontend
,log_activity,user_58,account_84,deal_603,51:49.0,51:49.0,,web,mobile,1,NL,"{""feature_name"": ""deal"", ""source"": ""automation""}",FALSE,frontend
12bce97a-e942-42b3-b7a6-a7b40e8f2245,create_deal,user_58,account_84,deal_585,54:37.0,54:37.0,01/01/2026,web,mobile,2,DE,"{""feature_name"": ""dashboard"", ""source"": ""automation"", ""pipeline_id"": ""pipeline_1"", ""stage_id"": ""stage_6""}",FALSE,automation
